Name of location,City/Municipality,Province,Region 
Calamba Doctors ,Calamba,Laguna,
Korean Phils Friendship Hospital,Trece,Cavite,
JP Rizal Hospital ,Calamba,Laguna,
Ospital ng Binan ,Binan ,Laguna,
Health Services Medical ,Los Banos ,Laguna,
Gen Emilio Aguinaldo Hospital ,Trece,Cavite,
Global Medical Banlic ,Calamba ,Laguna,
Molino Doctors Hospital,Bacoor,Cavite,
St Paul Hospital,Dasmarinas,Cavite,
Laguna Provincial Sanpablo,San Pablo ,Laguna,
Laguna Medical Center ,Stacruz,Laguna,
Gen Trias Med Center,Gen Trias ,Cavite,
South City Hosp and Med Center,Bacoor,Cavite,
Laguna Provincial Bay Hospital ,Bay ,Laguna,
St James Hospital,Cabuyao,Laguna,
West lake Medical Hospital ,San Pedro ,Laguna,
St. Anthony Hospital,"San Roque Ext, Roxas City",Capiz,
Roxas Memorial Hospital,"Blvd St., Barangay Baybay, Roxas City",Capiz,
West Visayas State University Medical Center,Iloilo City,Iloilo,
Qualimed Health Network,Iloilo City,Iloilo,
Medicus Hospital,Iloilo City,Iloilo,
Mission Hospital,Iloilo City,Iloilo,
The Medical City Iloilo,Iloilo City,Iloilo,
Health Centrum Hospital,"Banica, Roxas City",Capiz,
Capiz Emmanuel  Hospital,"Avenue St., Roxas City",Capiz,
Holy Mary Women & Children's Hospital,"Pavia, Iloilo City",Iloilo,
St. Paul's Hospital,Iloilo City,Iloilo,
Federico Roman Tirador Sr. Memorial District Hospital,Iloilo City,Iloilo,
Metro Iloilo Hospital,"Tagbak, Iloilo City",Iloilo,
Cabatuan Hospital,"Cabatuan, Iloilo",Iloilo,
Capiz Doctors Hospital,"Avenue St., Roxas City",Capiz,
Our Lady of the Rule Maternity and General Hospital ,Lapu-Lapu,Cebu,
Mendero Medical Center,Consolacion,Cebu,
ARC Hospital,Lapu-Lapu,Cebu,
Lapu-Lapu District Hospital,Lapu-Lapu,Cebu,
Talisay District Hospital,Talisay ,Cebu,
UC Med,Mandaue,Cebu,
Chonghua Hospital Mandaue,Mandaue,Cebu,
Cebu Doctor's Hospital,Cebu,Cebu,
Iloilo Doctors Hospital,Iloilo City,Iloilo,
Western Visayas Sanitarium,Sta. Barbara,Iloilo,
Seamen's Hospital,Iloilo City,Iloilo,
Western Visayas Medical Center,Iloilo City,Iloilo,
Roxas Memorial Hospital,"Brgy. Baybay, Roxas City",Capiz,
Perpetual Succour Hospital,Cebu,Cebu,
Cabatuan Hospital,Cabatuan,Iloilo,
Mandaue District Hospital,Mandaue,Cebu,
Cortes General Hospital,Mandaue,Cebu,
Holy Mary Women & Children's Hospital,Iloilo City,Iloilo,
Cebu City Medical Center,Cebu,Cebu,
Mactan Doctor's Hospital,Lapu-Lapu,Cebu,
Health Centrum Banica,"Banica, Roxas City",Capiz,
Karahay Hospital,Lapu-Lapu,Cebu,
Capiz Doctors Hospital,"Lawaan, Roxas City",Capiz,
South General Hospital,Naga ,Cebu,
Federico Roman Tirador Sr. Memorial District Hospital,"Janiuay, Iloilo City",Iloilo,
Metro Iloilo Hospital,"Tagbak, Jaro, Iloilo City",Iloilo,
Capiz Emmanuel Hospital,Avenue Roxas City,Capiz,
Miller Hospital,Cebu,Cebu,
Danao Provincial Hospital,Danao,Cebu,
Minglanilla District Hospital,Minglanilla,Cebu,
Eversley Child Sanitarium ,Mandaue,Cebu,
North General Hospital,Cebu,Cebu,
Vicente Sotto Hospital,Cebu,Cebu,
St. Vincent Hospital,Cebu,Cebu,
St. Anthony Hospital,Cebu,Cebu,
UC Med,Cebu,Cebu,
Talisay District Hospital,Talisay,Cebu,
Capiz Doctors Hospital,"Lawaan, Roxas",Capiz,
Capiz Emmanuel Hospital,"Avenue, Roxas",Capiz,
Health Centrum Hospital,"Banica, Roxas",Capiz,
Roxas Memorial Hospital,"Brgy. Baybay, Roxas",Capiz,
St. Anthony Hospital,"San Roque Ext., Roxas City",Capiz,
Metro Iloilo Hospital & Medical Center,"Jaro, Iloilo",Iloilo,
Federico Roman Tirador Sr. Memorial District Hospital,"Janiuay, Iloilo",Iloilo,
Holy Mary Women & Children's Hospital,"Pavia, Iloilo",Iloilo,
Cabatuan Hospital,Cebu,Iloilo,
Danao Provincial Hospital,Cebu,Cebu,
Mission Hospital,Cebu,Iloilo,
Vicente Sotto Hospital ,Cebu,Cebu,
St. Vincent Hospital ,Cebu,Cebu,
Eversley Child Sanitarium,Mandaue,Cebu,
South General Hospital,Naga,Cebu,
Western Visayas Sanitarium,Iloilo City,Iloilo,
Capiz Doctors Hospital,Lawaan Roxas City,Capiz,
Roxas Memorial Hospital,Boulevard Brgy. Baybay,Capiz,
Health Centrum Hospital,Banica Roxas,Capiz,
St. Anthony Hospital,San Roque Ext,Capiz,
Federico Roman Tirador Sr. Memorial District Hospital,Janiuay Iloilo,Iloilo,
St. Anthony Hospital,San Roque Ext Roxas City,Capiz,
Health Centrum Hospital,Banica Roxas City,Capiz,
Holy Mary Women & Children's Hospital,Pavia Iloilo,Iloilo,
Cabatuan Hospital,Iloilo City,Iloilo,
St. Paul's Hospital,Iloilo City,Capiz,
The  Medical City,Iloilo City,Iloilo,
Qualimed Hospital,Iloilo City,Iloilo,
West Visayas Sanitarium,Iloilo City,Iloilo,
Roxas Memorial Hospital,Roxas Blvd Baybay Roxas City,Capiz,
Capiz Doctors Hospital,Lawaan Roxas,Capiz,
Health Centrum Hospital,Banica,Capiz,
Western Visayas Hospital,Iloilo City,Iloilo,
Iloilo Mission Hospital,Iloilo City,Iloilo,
Ramos General Hospital,Tarlac City,Tarlac,
Meycauayan Doctors,Meycauayan City,Bulacan,
Nazarenus Hospital ,Meycauayan,Bulacan,
Mary Mount Hospital,Meycauayan,Bulacan,
Urdaneta District Hospital,Urdaneta City,Pangasinan,
Meycauayan Doctors,Meycauayan,Bulacan,
 Mary Mount Hospital,Meycauayan,Bulacan,
Nazarenus Hospital,Meycauayan,Bulacan,
Nazarenus Hospital,Meycauyan City,Bulacan,
Mary Mount Hospital,Meycauyan,Bulacan,
Jose B Lingad Memorial Hospital,San Fernando City,Pampanga,
Good Samaritan Hospital ,Gapan City,Nueva Ecija,
Guiguinto Polymedic Hospital,Guiguinto ,Bulacan,
Malolos Maternity Hospital,Malolos ,Bulacan,
Salvador General Hospital,Camiling,Tarlac,
Teodoro Memorial Hospital,Camiling,Tarlac,
Sto.Nino  General Hospital,Camiling,Tarlac,
Gapan District Hospital,Gapan,Nueva Ecija,
 Urdaneta District Hospital,Urdaneta,Pangasinan,
Green City Medical Center,San Fernando,Pampanga,
Malolos Maternity Hospital,Malolos,Bulacan,
Urdaneta District Hospital,Urdaneta,Pangasinan,
Central Luzon Doctors' Hospital,Tarlac,Tarlac,
Guiguinto Polymedic Hospital,Malolos,Bulacan,
Our Lady of Mercy Hospital,Pulilan,Bulacan,
 Meycauayan Doctors,Meycauayan,Bulacan,
Nazarenus Hospital ,Meycauyan,Bulacan,
Nueva Ecija Doctors Hospital,Cabanatuan,Nueva Ecija,
Good Samaritan Hospital,Gapan,Nueva Ecija,
Salvador Gen.Hosp.,Camiling,Tarlac,
Guiguinto Polymedic Hospital,Guiguinto,Bulacan,
Good Samaritan Hospital ,Gapan,Nueva Ecija,
Meycauayan Doctors Hospital,Meycauayan,Bulacan,
Tarlac Provincial Hospital,Tarlac,Tarlac,
The  Medical City Hospital,Angeles City,Pampanga,
Angeles Medical Center Hospital,Angeles City,Pampanga,
Angeles University Foundation Hospital,Angeles City,Pampanga,
St. Catherine Medical Center,Angeles City,Pampanga,
Salvador Gen.Hospital,Camiling,Tarlac,
Talon General Hospital,Tarlac City,Tarlac,
Sto.Nino Gen.Hospital,Camiling,Tarlac,
Rosario Memorial Hospital,Guagua,Pampanga,
Florida Blanca Doctors Hospital,Floridablanca,Pampanga,
Pampanga Medical Specialist,Guagua,Pampanga,
 Malolos Maternity Hospital,Malolos,Bulacan,
Adventist Medical Center Inc,Pasay,Metro Manila,
Babaran Echavez Medical and Psychiatric Clinic,Muntinlupa,Metro Manila,
South Super Highway Medical Center,Paranaque,Metro Manila,
Taguig Doctors Hospital,Taguig,Metro Manila,
UP Philippine General Hospital,Manila,Metro Manila,
Alabang Medical Clinic Muntinlupa Branch,Muntinlupa,Metro Manila,
Foundation of Our Lady of Peace Mission Inc- Our Lady of Peace Hospital,Paranaque,Metro Manila,
The Premiere Medical Center,Paranaque,Metro Manila,
Uni health Paranaque Hospital and Medical Center Inc,Paranaque,Metro Manila,
Medical Center Paranaque Inc,Paranaque,Metro Manila,
University of Perpetual Help Dalta Medical Center Inc,Las PInas,Metro Manila,
A Zarate General Hospital,Paranaque,Metro Manila,
Ospital ng Paranaque ,Paranaque,Metro Manila,
La pinas General Hospital and Satellite Trauma,Las PInas,Metro Manila,
Sto Nino De Cebu Paranaque,Paranaque,Metro Manila,
Olivarez General Hospital,Paranaque,Metro Manila,
"UHBI- Paranaque Doctors Hospital, Inc",Paranaque,Metro Manila,
Recuenco General Hospital,#REF!,Metro Manila,
DHC HomeCare Clinic,Mandaluyong ,Metro Manila,
Makati Medical Center,Makati,Metro Manila,
Sta Ana Hospital,Makati,Metro Manila,
Lourdes Maternity Hospital,Makati,Metro Manila,
Cruz Rabe  Maternity and General Hospital,Taguig,Metro Manila,
VRP Medical Center,Mandaluyong,Metro Manila,
Trinity Woman and Child Center,Makati,Metro Manila,
Jesus Immaculate Conception Hospital,Marikina,Metro Manila,
Antipolo Doctors Hospital,Antipolo,Rizal,
Mother Theresa Home That Cares,Mandaluyong,Metro Manila,
Christ the King General Hospital,Las Pinas,Metro Manila,
Callejo Medical Clinic,Las Pinas,Metro Manila,
Alabang Medical Clinic Las Pinas,Las PInas,Metro Manila,
Soriano Leyble Medical and Maternity Hospital,Antipolo,Rizal,
St Claire Medical Center,Mkati,Metro Manila,
St Lukes Global City,Taguig,Metro Manila,
Divine Mercy The Home of Cares Inc,Mandaluyong ,Metro Manila,
VT MATERNITY HOSPITAL,Marikina,Metro Manila,
Holylife Hospital,Pasig City,Metro Manila,
The Medical City Pasig,Pasig City,Metro Manila,
Clinica Antipolo and Wellness Center,"Brgy. Dela Paz, Antipolo City",Rizal,
Medical Center of Taguig,Taguig City,Metro Manila,
Ospital ng Makati,Makati City,Metro Manila,
Trinity Woman and Child Center the Birthplace,Makati City,Metro Manila,
Philippine National Police General Hospital,Quezon City,Metro Manila,
St Claire Medical Center,Makati City,Metro Manila,
Mandaluyong Medical Center,Mandaluyong City,Metro Manila,
Airforce General Hospital,Pasay,Metro Manila,
 Airforce General Hospital,Pasay,Metro Manila,
Maria Lourdes Maternity Hospital ,Makati City,Metro Manila,
Makati Medical Center,Makati City,Metro Manila,
Research  Institute for Tropical Medicine,Muntinlupa ,Metro Manila,
Sta Ana Hospital,Makati City,Metro Manila,
San Roque Medical Clinic,Muntinlupa,Metro Manila,
E Zarate Hospital,Las Pinas,Metro Manila,
Army General Hospital,Taguig Citu,Metro Manila,
Pasay City General Hospital,Pasay,Metro Manila,
Taguig Pateros District Hospital,Taguig City,Metro Manila,
MCPC St. Therese of LisieuxDoctors Hospital,Pasig City,Metro Manila,
D T Protacio Hospital,#REF!,Metro Manila,
St. Victoria Hospital,Marikina City,Metro Manila,
San Juan De Dios Educational Foundation Inc ,Pasay,Metro Manila,
Angono Medics,Angono Rizal Brgy San Isidro,Rizal,
Amang Rodriguez Medical Center,MARIKINA CITY,Metro Manila,
Marikina Doctors Hospital and Medical Center inc.,Pasig City,Metro Manila,
St. Camilluz Medical Center,Pasig City,Metro Manila,
Arnaiz Hospital,Cainta,Rizal,
Antipolo Medical City Hospital,ANTIPOLO CITY,Rizal,
Ospital ng Maynila Medical Center,Manila,Metro Manila,
Manila Naval Hospital,Taguig City,Metro Manila,
Ma Lourdes Maternity Hospital,Makati City,Metro Manila,
Ospital ng Muntinlupa,Muntinlupa,Metro Manila,
TAYTAY EMERGENCY HOSPITAL,TAYTAY,Rizal,
MANILA EAST MEDICAL CENTER,TAYTAY,Rizal,
 ORTIGAS HOSPITAL,CAINTA,Rizal,
Alabang Medical Clinic,Muntinlupa,Metro Manila,
National Center for Mental Health,Mandaluyong City,Metro Manila,
Allied Care  Experts,Pateros,Metro Manila,
Family Healthcare Hospital,Pasig City,Metro Manila,
Sabater General Hospital,PASIG CITY,Metro Manila,
Dr Sabili Health Services Corp,Taguig City,Metro Manila,
Rizal Provincial Hospital,Antipolo City,Rizal,
 Marrero-acop Clinic and hospital,ANTIPOLO CITY,Rizal,
MCPC St. Therese Hospital,TERESA,Rizal,
Unciano Hospital,ANTIPOLO CITY,Rizal,
 Alfonso Specialist Hospital,PASIG CITY,Metro Manila,
Marikina Valley Medical Center,MARIKINA CITY,Metro Manila,
Pasig City Children's Hospital,PASIG CITY,Metro Manila,
EAST AVE MEDICAL CENTER,QUEZON CITY,Metro Manila,
Las Pinas Doctors Hospital Inc,Las Pinas,Metro Manila,
MISSION HOSPITAL,pasig city,Metro Manila,
Perpetual Help Las Pinas,Las Pinas,Metro Manila,
Las Pinas City Medical Center,Las Pinas,Metro Manila,
Alabang Medical Clinic ,Muntinlupa,Metro Manila,
PASIG DOCTORS HOSPITAL,PASIG CITY,Metro Manila,
New Bilibid Prison Hospital,Muntinlupa,Metro Manila,
Assumption Specialty Hospital,ANTIPOLO CITY,Rizal,
Beato Cauilan Hospital,Muntinlupa,Metro Manila,
San Isidro,ANGONO,Rizal,
Jesus Immaculate  Conception Hospital,MARIKINA CITY,Metro Manila,
San Juan Medical Center,pasig city,Metro Manila,
Salve Regina General Hospital Inc. ,PASIG CITY,Metro Manila,
Quezon Memorial Medical Center,QUEZON CITY,Metro Manila,
Alabang Medical Clinic Las Pinas Branch,Las Pinas,Metro Manila,
San Ramon Hospital,MARIKINA CITY,Metro Manila,
Metro Antipolo Hospital and Medical Center,ANTIPOLO CITY,Rizal,
Angono General Hospital,ANGONO,Rizal,
Metro Psychiatry Inc. ,PASIG CITY,Metro Manila,
Tricity Medical Center ,PASIG CITY,Metro Manila,
Rosario Maclang Bautista Gen. Hospital,Metro Manila,Rosario Maclang Bautista Gen. Hospital,
Cardinal Santos Medical Center ,Metro Manila,Cardinal Santos Medical Center ,
Pasig City General Hospital,Metro Manila,Pasig City General Hospital,
Asian Hospital and Medical Center,Muntinlupa,Metro Manila,
Adventist Medical Center Manila,Manila City,Metro Manila,
RITM Hospital,Muntinlupa City,Metro Manila,
Philippine General Hospital,Metro Manila,Metro Manila,
Qualimed Santa Rosa,Santa Rosa,Laguna,
De La Salle University Medical Center (DLSUMC),Dasmarinas,Cavite,
Paranaque Doctors Hospital,Manila City,Metro Manila,
University of Perpetual Help Dalta Medical Center,Las Pinas,Metro Manila,
Las Pinas General Hospital and Satellite Trauma Center,Las Pinas,Metro Manila,
St. Lukes Medical Center Global City,Taguig City,Metro Manila,
Veterans Medical Memorial Center,Metro Manila,Metro Manila,
Philippine Childrens Hospital,Metro Manila,Metro Manila,
Capitol Medical Center,Metro Manila,Metro Manila,
Ospital ng Paranaque,Paranaque,Metro Manila,
Skyline Hospital,San Jose Del Monte,Bulacan,
Qualimed General Hospital,San Jose Del Monte,Bulacan,
Ospital ng Muntinlupa,Muntinlupa City,Metro Manila,
San Juan De Dios Hospital,Pasay City,Metro Manila,
Pasay General Hospital ,Pasay City,Metro Manila,
Taguig-Pateros District Hospital,Taguig,Metro Manila,
DR. SABILI HEALTH SERVICES CORPORATION,Taguig,Metro Manila,
ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,Taguig,Metro Manila,
"RECUENCO GENERAL HOSPITAL, INC.",Taguig,Metro Manila,
ARMY GENERAL HOSPITAL,Taguig,Metro Manila,
MANILA NAVAL HOSPITAL,Taguig,Metro Manila,
"MEDICAL CENTER OF TAGUIG CITY, INC.",Taguig,Metro Manila,
CRUZ-RABE MATERNITY AND GENERAL HOSPITAL,Taguig,Metro Manila,
The Medical City,Pasig,Metro Manila,
Mission Hospital,Pasig,Metro Manila,
ALFONSO SPECIALIST HOSPITAL ,Pasig,Metro Manila,
Rizal Medical Center,Pasig,Metro Manila,
TRICITY MEDICAL CENTER INC,Pasig,Metro Manila,
PASIG CITY GENERAL HOSPITAL  ,Pasig,Metro Manila,
MCPC St Therese of Lisieux Doctors Hospital,Pasig,Metro Manila,
U.E.R.M Memorial Hospital ,Quezon City,Metro Manila,
Cardinal Santos Medical Center,San Juan,Metro Manila,
Our Lady of Lourdes Hospital Inc,Manila,Metro Manila,
Philippine Orthopedic Center,Quezon City,Metro Manila,
Victoria Luna Medical Center,Quezon City,Metro Manila,
East Avenue Medical Center,Quezon City,Metro Manila,
Manila Doctors Hospital,Ermita,Metro Manila,
Medical Center Manila,Ermita,Metro Manila,
UP-Philippine General Hospital,Manila,Metro Manila,
Philippine Children’s Medical Center,Quezon City,Metro Manila,
National Children’s Hospital ,Quezon City,Metro Manila,
St. Luke’s Medical Center,Quezon City,Metro Manila,
Veterans Memorial Medical Center,Quezon City,Metro Manila,
Qurino Memorial Medical Center,Quezon City,Metro Manila,
World Citi Medical Center,Quezon City,Metro Manila,
"Capitol Medical Center, Inc",Quezon City,Metro Manila,
Lung Center of the Philippines,Quezon City,Metro Manila,
University of Perpetual Help Dalta Medical Cente Inc,Las Pinas,Metro Manila,
Research Institute for Tropical Medicine,Muntinlupa,Metro Manila,
San Juan De Dios Educational Foundation Inc,Pasay,Metro Manila,
Mandaluyong City Medical Center,Mandaluyong,Metro Manila,
National Center for Mental Health ,Mandaluyong ,Metro Manila,
Philippine Heart Center,Quezon City,Metro Manila,
National Kidney and Transplant Institute,Quezon City,Metro Manila,
Makati Medical Center,Makati ,Metro Manila,
Santa Ana Hospital,Manila,Metro Manila,
Ospital ng Manila Medical Center,Malate,Metro Manila,
San Lazaro Hospital,Manila,Metro Manila,
Jose R. Reyes Memorial Medical Center,"Sta Cruz, Manila",Metro Manila,
Metropolitan Medical Center,Tondo,Metro Manila,
MCU-FDT Medical Foundation Hospital,Caloocan,Metro Manila,
Dr. Jose Fabella Memorial Hospital,Santa Cruz,Metro Manila,
Ospital ng Makati,Makati,Metro Manila,
CHINESE GENERAL HOSPITAL AND MEDICAL CENTER,Santa Cruz,Metro Manila,
Martinez Memorial Hospital,Caloocan,Metro Manila,
UERM Hospital,Quezon City,Metro Manila,
NAVOTAS CITY HOSPITAL,Navotas,Metro Manila,
VICENTE SOTTO MEMORIAL MEDICAL CENTER,Cebu City,Cebu,
DR. JOSE P. RIZAL MEMORIAL DISTRICT HOSPITAL,Calamba,Laguna,
SNH BUSTOS CORPORATION,Bustos,Bulacan,
M.S MAGBITANG HOSPITAL,San Ildefonso,Bulacan,
SOUTHERN PHILIPPINES MEDICAL CENTER,Agdao Davao City,Davao Del Sur,
Philippine Heart Center,Quezon City,Quezon City,
Navotas Hospital,Quezon City,Quezon City,
Antipolo City Hospital System Annex IV,Antipolo City,"Cainta, Rizal",
Mandaluyong City Medical Center,Mandaluyong City,Mandaluyong City,
Rizal Medical Center,Pasig City,Pasig City,
Emmanuel Hospital,"San Miguel, Bulacan","San Miguel, Bulacan",
Angeles Medical Foundation Medical Center Inc.,"Angeles, Pampanga","Angeles, Pampanga",
Ospital ng Imus,Imus City ,Imus City ,
JP Rizal Memorial District Hospital,Calamba City,Calamba City,
Sta. Rosa Community Hospital ,"Sta. Rosa, Laguna","Sta. Rosa, Laguna",
Mendero Hospital,Consolacion,"Lamac, Consolacion",
Northern Mindanao Medical Center,CDO,CDO,
Davao Doctors Hospital,Davao ,Davao ,
Davao Regional Medical Center of Tagum,Davao ,Tagum City,
JP Rizal Distirct Hospital,Calamba,,
San Pedro Calunsod Hospital,Kawit,,
BMMG Hospital,Sta Maria,,
Sta maria PNP,Sta Maria,,
CDC checkpoint,Angeles,,
Barangay checkpoint,Mabalacat,,
Checkpoint Robinson,,,
Along Calle Industriya,Quezon City,,
Along Kamias Kalayaan,Quezon City,,
St Lukes Medical Center,Quezon City,,
UERM Memorial Hospital,Quezon City,,
cainta checkpoint,Marikina,,
marcos hway checkpoint,Marikina,,
Pampanga checkpoint,Angeles,,
Police station 1,Quezon City,,
Malabon police,Malabon,,
Navotas police,Malabon,,
timog ave checkpoint,Quezon City,,
tomas morato checkpoint,Quezon City,,
CAPITOL MEDICAL CENTER,Quezon City,,
West Visayas State University Medical Center,Iloilo,,
Western Visayas Medical Center,Iloilo ,,
Corazon Locsin Memorial Regional Hospital,Bacolod,,
Vicente Sotto Memorial Medical Center,Cebu,,
World Citi Medical Center,Quezon City,,
Barangay Bagumbuhay Officials,Quezon City,,
Police patroling in the Area,Quezon City,,
Cardinal Santos Medical Center,San Juan,,
Baranggay Patroller,San Juan,,
Baranggay Greater Fairview,Quezon City,,
Bernardino General Hospital,Quezon City,,
FEU General Hospital,Quezon City,,
Commonwealth Hospital,Quezon City,,
Community Police Assistance Center,Quezon City,,
Brgy. Greater Lagro,Quezon City,,
Dr. Jose N. Reyes Hospital,Quezon City,,
San Lorenzo Hospital,Quezon City,,
San Lazaro Hospital,Manila,,
Mary Chiles Hospital,Manila,,
Valenzuela City General Hospital,Valenzuela,,
Malanday Border Checkpoint,Valenzuela,,
Paso de Blas Checkpoint,Valenzuela,,
Andres Luciano District Hospital Magalang,Mexico,,
Malinta Check Point,Valenzuela,,
Brgy Alangilan Fronliners,Batangas,,
Brgy Addition Hills Community,Mandaluyong City,,
Starttollway Checkppoint,Batangas,,
Quarantine Station,Mandaluyong City,,
Human quarantine,Mandaluyong City,,
St Luke’s Medical Center-Global City,Taguig,,
West Rembo And Taguig Pateros Hospital,Taguig,,
Brgy Napindan ,Taguig,,
Makati Police Station,Makati,,
Brgy Tejeros,Makati,,
Brgy Sta Ana  Manila,Manila,,
Sta. Ana Hospital,Manila,,
Barangay Pinagsama,Taguig,,
Rizal Provincial Hospital,Pasig,,
Taguig Pateros District Hospital                                                       ,Taguig,,
Medical Center Muntinlupa,Muntinlupa,,
Alabang Medical Center,Muntinlupa,,
PNP ,Muntinlupa,,
Pavia Police Station,Iloilo,,
Dumaguete City Police Station,Dumaguete,,
CMC Hospital,Calamba,,
Camp Vicente,Calamba,,
San Pablo City Medical,San Pablo,,
Global Medical Center,Calamba ,,
Qualimed Sta Rosa,Sta Rosa,,
Mayor' Office,Masbate,,
Checkpoint in Lucena,Lucena ,,
City Health Office,Puerto Princesa,,
Police and Manning Check Points,Lucena ,,
"Baguio,City PNP ",Baguio,,
San Fernando Pampanga Traffic Management,San Fernando,,
Office of traffic Management and Public Safety,Olongapo ,,
SM Supermarket Frontliners,Olongapo ,,
James Gordon Hospital,Olongapo ,,
Baloy Checkpoint & Station 4 Precinct,Olongapo ,,
"Urdaneta &,Sn Fabian PnP/Medics Rescue",Urdaneta,,
Urdaneta PnP/Medics Rescue,Urdaneta,,
Tarlac Provincial Hospital,Tarlac,,
POSO (Public Order and Safety Office),Tarlac,,
Office of traffic Management and Public Safety,Olongapo,,
SBMA Police - Checkpoint (Kalaklan),Olongapo,,
SBMA Police - Checkpoint (Tipo),Olongapo,,
Solano check point,Solano,,
Mabalacat Police Station,Mabalacat,,
Ospital ng Palawan,Puerto Princesa,,
Barangay Maningning,Puerto Princesa,,
Municipal of GMA Cavite ,Cavite,,
Bulihan Silang Cavite check point,Cavite,,
PNP.,Masbate,,
Sta Cruz Police Station,Sta Cruz ,,
Sta Cruz Check point ,Sta Cruz ,,
Bubukal Check point ,Sta Cruz ,,
AGO Hospital,Legazpi,,
Traffic Management,Legazpi,,
Canlubang Checkpoint,Canlubang,,
Hi Precision Clinic,Calamba ,,
CABUYAO POBLACION BRGY. POLICE,Cabuyao,,
PNP.,Cabuyao,,
CHECK POINT IN TAGAPO,Sta Rosa,,
JP Rizal Distirct Hospital,Calamba ,,
City Health office / Health Center,Puerto Princesa,,
Rakk Prophet Hospital Gumaca Quezon,Gumaca ,,
LGU Candelaria ,Candelaria,,
"Catmon,Tikay  Malolos",Malolos,,
Santor Malolos/Kaingin Malolos,Malolos,,
Baliwag PNP,Pulilan,,
"LGU, brgy",Roxas,,
"LGU, brgy",San Jose,,
PNP,Baliwag,,
Barangay Telabastagan' Check Point,San Fernando,,
Mt. Carmel Hospital,San Fernando,,
Check Point/ Social Workers near Marquee Mall,Angeles,,
Social Workers,Angeles,,
Check Point/ Social Workers,Angeles,,
Check Point/ Social Workers,San Fernando,,
Check Point in San Fernando Pampanga,San Fernando,,
Check Point in Angeles Area,Angeles,,
Diosdado Macapagal Hospital Guagua,San Fernando,,
Paskuhan Check Point San Fernando Pampanga,San Fernando,,
Bacolor Public Hopsital,San Fernando,,
Bacolor Police Station,San Fernando,,
Police staion City of San Fernando Pampanga; CheckPoint San Nicolas; CDRRMO: Heroes Hall,San Fernando,,
Check Point Mexico; Guagua Check Point,San Fernando,,
Mexico Community Hospital,San Fernando,,
Sta Rita Check Point/ Socail Workers,San Fernando,,
Checkpont near Abanao/ Harrison Intersection,Baguio ,,
PNP Station Office,Baguio ,,
Checkpoint,Cabanatuan,,
City of San Fernando Emergency Operations Center,San Fernando,,
Lubao District Hospital,San Fernando,,
Ricardo P. Rodriguez Memorial Center,San Fernando,,
SM Supermarket Frontliners,San Fernando,,
SAN LUIS DISTRICT HOSPITAL,San Fernando,,
Candaba Municipal Infirmary,San Fernando,,
4 Checkpoints in San Fernando Pampanga,San Fernando,,
PNP Station 7; Baguio City,Baguio ,,
Scolastica Romero District Hospital,San Fernando,,
Gapan Check Point,Gapan,,
Dagupan Doctors Hospital,Dagupan ,,
Nazareth General Hospital,San Carlos ,,
Mexico Hospital,San Fernando,,
Check point (Lumbia to Pueblo),Cagayan de Oro,,
Radio Ultra,Cagayan de Oro,,
J.R. Borja General Hospital,Cagayan de Oro,,
Northern Mindanao Medical Center,Cagayan de Oro,,
Northern Mindanao Medical Center ,Cagayan de Oro,,
Checkpoint Lumbia to Pueblo,Cagayan de Oro,,
Muntinlupa Medical Center,Muntinlupa,,
Ospital ng Muntinlupa,Muntinlupa,,
LGU Barangay Putatan Checkpoint,Muntinlupa,,
Ospital ng Paranaque,Paranaque,,
Lgu Barangay San Isidro Workers and Health Workers,Paranaque,,
Lourders Hospital,Quezon City,,
San Juan Medical Center,San Juan,,
PNP Checkpoints,San Juan,,
Barangay and PNP Sta. Mesa Area,Quezon City,,
Medical Center Taguig,Taguig,,
OSWD Health Worker of Barangay Sta. Ana,Taguig,,
Barangay fairview Park,Quezon City,,
AFP,Quezon City,,
Dahlia Police Station,Quezon City,,
Research Institute for Tropical Medicine,Muntinlupa,,
PNP Checkpoints,Muntinlupa,,
Barangay Putatan,Muntinlupa,,
Alabang Hospital,Muntinlupa,,
Ospital ng Makati,Makati,,
Mayapa Health Office,Canlubang,,
Tagaytay PNP,Tagaytay,,
TMO,Canlubang,,
Laguna Provincial Hospital,Sta Cruz,,
Amante Hospital,San Pedro,,
San Pedro PNP,San Pedro,,
PNP Isabang,Lucena ,,
St Anne Gen Hospital,Lucena ,,
Check Point Ibabang Dupay,Lucena ,,
Check Point Campo,Lucena ,,
Check Point Domol,Lucena ,,
Lucena BFP,Lucena ,,
Ospital ng Palawan,Puerto Princesa ,,
Calamba Doctors Hospital ,Calamba,,
Global Canlubang Hospital,Canlubang ,,
Sta Cruz PNP,Sta Cruz,,
Sta Rosa Center,Sta Rosa,,
San Pedro PNP Station,San Pedro,,
GBM Aviary Checkpoint,Tanauan,,
Lemery Checkpoint,Lemery ,,
PNP Calapan,Calapan,,
DLSU Medical Center,Dasmarinas,,
CITMO Imus Cavite,Imus ,,
"LGU of San Mateo (military, health & brgy workers",Rizal,,
"Marikina Municipality brgy, military & health workers",Marikina,,
Brgy. 28 Laoag City,Laoag,,
"Brgy, health & checkpoint",Rizal,,
"Military Checkpoint, Brgy Workers, Health Workers",Rizal,,
